draw,regimen,exposure,censored,final,rank
33,Eupatilin+Rg3,25.663,0.0,0.39080459770114945,7
33,SAC+Rg3+Curcumin,25.72,0.0,0.13218390804597702,8
33,Gemcitabine,19.504,1.0,0.0,1
34,SAC,6.481,0.0,0.009633911368015413,3
34,Eupatilin,13.307,0.0,0.43352601156069365,6
34,20(S)-Rg3,6.432,0.0,0.0,2
34,Curcumin,8.498,0.0,1.0674373795761078,4
34,SAC+Eupatilin,17.235,0.0,0.17533718689788053,8
34,Eupatilin+Rg3,11.571,0.0,0.0,5
34,SAC+Rg3+Curcumin,13.403,0.0,0.0,7
34,Gemcitabine,9.751,1.0,0.0,1
35,SAC,10.078,0.0,0.20977596741344195,5
35,Eupatilin,7.88,0.0,0.9938900203665988,2
35,20(S)-Rg3,14.908,0.0,2.488798370672098,7
35,Curcumin,9.78,0.0,0.12016293279022404,4
35,SAC+Eupatilin,13.523,0.0,0.0,6
35,Eupatilin+Rg3,9.59,0.0,0.0,3
35,SAC+Rg3+Curcumin,42.119,0.0,0.7922606924643585,8
35,Gemcitabine,11.582,1.0,0.0,1
36,SAC,2.707,0.0,0.22410147991543342,2
36,Eupatilin,10.166,0.0,1.8562367864693445,4
36,20(S)-Rg3,21.897,0.0,1.1035940803382664,7
36,Curcumin,9.952,0.0,1.8012684989429175,3
36,SAC+Eupatilin,14.226,0.0,1.4334038054968288,5
36,Eupatilin+Rg3,18.436,0.0,0.20084566596194503,6
36,SAC+Rg3+Curcumin,33.365,0.0,0.5792811839323467,8
36,Gemcitabine,11.906,1.0,0.0,1
37,SAC,14.258,0.0,1.4161490683229814,5
37,Eupatilin,17.307,0.0,1.9648033126293996,6
37,20(S)-Rg3,6.725,0.0,0.12422360248447205,3
37,Curcumin,6.005,0.0,0.11387163561076605,2
37,SAC+Eupatilin,31.565,0.0,0.9420289855072463,8
37,Eupatilin+Rg3,21.666,0.0,0.38509316770186336,7
37,SAC+Rg3+Curcumin,14.204,0.0,0.043478260869565216,4
37,Gemcitabine,8.072,1.0,0.0,1
38,SAC,8.68,0.0,1.7536842105263157,2
38,Eupatilin,15.569,0.0,1.1852631578947368,5
38,20(S)-Rg3,14.013,0.0,0.4926315789473684,4
38,Curcumin,13.398,0.0,1.8042105263157895,3
38,SAC+Eupatilin,22.531,0.0,0.6378947368421053,7
38,Eupatilin+Rg3,15.775,0.0,0.035789473684210524,6
38,SAC+Rg3+Curcumin,30.979,0.0,0.2694736842105263,8
38,Gemcitabine,3.968,1.0,0.0,1
39,SAC,9.65,0.0,0.9067961165048544,3
39,Eupatilin,12.048,0.0,0.8155339805825242,4
39,20(S)-Rg3,5.56,0.0,0.0,2
39,Curcumin,13.274,0.0,1.6019417475728155,6
39,SAC+Eupatilin,21.699,0.0,1.7087378640776698,8
39,Eupatilin+Rg3,13.917,0.0,0.015533980582524271,7
39,SAC+Rg3+Curcumin,12.447,0.0,0.0,5
39,Gemcitabine,22.451,1.0,0.0,1
40,SAC,20.17,0.0,1.3755102040816327,7
40,Eupatilin,12.274,0.0,1.6591836734693877,4
40,20(S)-Rg3,7.806,0.0,0.0,2
40,Curcumin,8.792,0.0,0.7653061224489796,3
40,SAC+Eupatilin,32.444,0.0,1.6510204081632653,8
40,Eupatilin+Rg3,13.543,0.0,0.0,5
40,SAC+Rg3+Curcumin,16.875,0.0,0.0,6
40,Gemcitabine,10.434,1.0,0.0,1
41,SAC,13.583,0.0,2.1877394636015324,4
41,Eupatilin,11.237,0.0,2.611111111111111,2
41,20(S)-Rg3,13.47,0.0,1.8026819923371646,3
41,Curcumin,13.902,0.0,4.159003831417625,5
41,SAC+Eupatilin,24.821,0.0,0.7988505747126436,7
41,Eupatilin+Rg3,22.648,0.0,0.5862068965517241,6
41,SAC+Rg3+Curcumin,39.079,0.0,0.6647509578544061,8
41,Gemcitabine,18.32,1.0,0.0,1
42,SAC,12.525,0.0,0.5433526011560693,5
42,Eupatilin,9.307,0.0,0.4624277456647399,4
42,20(S)-Rg3,4.059,0.0,0.0,2
42,Curcumin,8.217,0.0,0.22157996146435452,3
42,SAC+Eupatilin,18.459,0.0,0.0789980732177264,8
42,Eupatilin+Rg3,13.935,0.0,0.3583815028901734,6
42,SAC+Rg3+Curcumin,18.287,0.0,0.028901734104046242,7
42,Gemcitabine,11.522,1.0,0.0,1
43,SAC,6.011,0.0,0.5498981670061099,2
43,Eupatilin,13.306,0.0,0.7189409368635438,6
43,20(S)-Rg3,11.001,0.0,0.1934826883910387,4
43,Curcumin,10.594,0.0,1.164969450101833,3
43,SAC+Eupatilin,20.781,0.0,1.539714867617108,8
43,Eupatilin+Rg3,11.101,0.0,0.14867617107942974,5
43,SAC+Rg3+Curcumin,14.892,0.0,0.0,7
43,Gemcitabine,15.454,1.0,0.0,1
44,SAC,11.991,0.0,1.331923890063425,3
44,Eupatilin,16.748,0.0,0.9281183932346723,4
44,20(S)-Rg3,9.807,0.0,0.014799154334038054,2
44,Curcumin,23.402,0.0,1.2114164904862579,5
44,SAC+Eupatilin,28.739,0.0,0.854122621564482,7
44,Eupatilin+Rg3,26.719,0.0,0.48414376321353064,6
44,SAC+Rg3+Curcumin,31.106,0.0,0.427061310782241,8
44,Gemcitabine,10.809,1.0,0.0,1
45,SAC,7.813,0.0,0.13457556935817805,2
45,Eupatilin,16.571,0.0,1.0062111801242235,7
45,20(S)-Rg3,10.269,0.0,0.2546583850931677,3
45,Curcumin,11.073,0.0,1.0227743271221532,4
45,SAC+Eupatilin,20.781,0.0,0.06418219461697723,8
45,Eupatilin+Rg3,13.777,0.0,0.0,5
45,SAC+Rg3+Curcumin,14.075,0.0,0.0,6
45,Gemcitabine,30.793,1.0,0.0,1
46,SAC,12.04,0.0,1.3094736842105263,4
46,Eupatilin,10.703,0.0,0.1831578947368421,3
46,20(S)-Rg3,6.038,0.0,0.0,2
46,Curcumin,19.072,0.0,2.463157894736842,7
46,SAC+Eupatilin,20.209,0.0,0.2694736842105263,8
46,Eupatilin+Rg3,14.524,0.0,0.0,5
46,SAC+Rg3+Curcumin,16.338,0.0,0.0,6
46,Gemcitabine,26.572,1.0,0.0,1
47,SAC,6.016,0.0,0.5339805825242718,2
47,Eupatilin,11.03,0.0,1.2194174757281553,5
47,20(S)-Rg3,10.645,0.0,0.9223300970873787,4
47,Curcumin,7.222,0.0,1.258252427184466,3
47,SAC+Eupatilin,14.831,0.0,0.3029126213592233,6
47,Eupatilin+Rg3,16.979,0.0,0.30097087378640774,7
47,SAC+Rg3+Curcumin,24.2,0.0,1.4116504854368932,8
47,Gemcitabine,11.467,1.0,0.0,1
48,SAC,7.046,0.0,0.3448979591836735,2
48,Eupatilin,7.128,0.0,1.1408163265306122,3
48,20(S)-Rg3,13.557,0.0,0.3836734693877551,8
48,Curcumin,10.943,0.0,1.373469387755102,5
48,SAC+Eupatilin,9.493,0.0,0.0,4
48,Eupatilin+Rg3,11.85,0.0,0.0,6
48,SAC+Rg3+Curcumin,12.781,0.0,0.0,7
48,Gemcitabine,20.917,1.0,0.0,1
49,SAC,17.502,0.0,2.2509578544061304,6
49,Eupatilin,5.935,0.0,1.8409961685823755,2
49,20(S)-Rg3,6.834,0.0,0.13026819923371646,3
49,Curcumin,15.554,0.0,2.3160919540229883,5
49,SAC+Eupatilin,21.777,0.0,0.5689655172413793,8
49,Eupatilin+Rg3,8.019,0.0,0.0,4
49,SAC+Rg3+Curcumin,21.422,0.0,0.0,7
49,Gemcitabine,19.224,1.0,0.0,1
50,SAC,10.607,0.0,1.7572254335260116,6
50,Eupatilin,9.135,0.0,0.44315992292870904,5
